"jaar","Bevolking (x 1 000)"
"1880","17,5"
"1881",""
"1882",""
"1883",""
"1884",""
"1885",""
"1886",""
"1887",""
"1888",""
"1889",""
"1890","19,0"
"1891",""
"1892",""
"1893",""
"1894",""
"1895",""
"1896",""
"1897",""
"1898",""
"1899",""
"1900","23,3"
"1901",""
"1902",""
"1903",""
"1904",""
"1905",""
"1906",""
"1907",""
"1908",""
"1909",""
"1910","39,3"
"1911",""
"1912",""
"1913",""
"1914",""
"1915",""
"1916",""
"1917",""
"1918",""
"1919",""
"1920","88,5"
"1921","91,6"
"1922","94,0"
"1923","99,8"
"1924","105,9"
"1925","111,2"
"1926","117,5"
"1927","124,3"
"1928","128,4"
"1929","134,8"
"1930","138,0"
"1931","143,7"
"1932","146,0"
"1933","146,2"
"1934","144,4"
"1935","142,6"
"1936","142,5"
"1937","143,8"
"1938","144,7"
"1939","145,7"
"1940","148,6"
"1941","151,8"
"1942","154,2"
"1943","157,0"
"1944","160,0"
"1945","163,6"
"1946","163,3"
"1947","165,6"
"1948","171,2"
"1949","176,0"
"1950","180,4"
"1951","184,3"
"1952","188,7"
"1953","192,6"
"1954","196,1"
"1955","199,9"
"1956","204,0"
"1957","208,3"
"1958","213,4"
"1959","217,5"
"1960","220,3"
"1961","224,0"
"1962","228,1"
"1963","231,1"
"1964","234,2"
"1965","236,1"
"1966","236,4"
"1967","234,7"
"1968","231,5"
"1969","230,0"
"1970","231,1"
"1971","230,8"
"1972","229,2"
"1973","227,2"
"1974","225,8"
"1975","225,4"
"1976","225,4"
"1977","225,2"
"1978","225,1"
"1979","225,3"
"1980","225,4"
